prompt_id,shot,format,accuracy
1,5,text,1.0
1,5,markdown,1.0
1,5,yaml,0.9
1,5,json,0.88
2,5,text,0.9
2,5,markdown,0.9
2,5,yaml,0.9
2,5,json,1.0
3,5,text,0.5
3,5,markdown,0.5
3,5,yaml,0.4
3,5,json,0.7
4,5,text,1.0
4,5,markdown,0.9
4,5,yaml,0.9
4,5,json,0.5
5,5,text,1.0
5,5,markdown,1.0
5,5,yaml,1.0
5,5,json,1.0
6,5,text,1.0
6,5,markdown,1.0
6,5,yaml,1.0
6,5,json,1.0
7,5,text,1.0
7,5,markdown,1.0
7,5,yaml,0.9
7,5,json,1.0
8,5,text,0.8
8,5,markdown,1.0
8,5,yaml,1.0
8,5,json,0.6
9,5,text,0.8
9,5,markdown,0.6
9,5,yaml,0.33
9,5,json,0.0
10,5,text,1.0
10,5,markdown,1.0
10,5,yaml,1.0
10,5,json,1.0
