prompt_id,shot,format,accuracy
1,0,text,0.8
1,0,markdown,0.8
1,0,yaml,0.9
1,0,json,1.0
1,1,text,1.0
1,1,markdown,1.0
1,1,yaml,0.9
1,1,json,0.25
1,3,text,0.9
1,3,markdown,1.0
1,3,yaml,0.9
1,3,json,0.9
1,5,text,1.0
1,5,markdown,1.0
1,5,yaml,0.9
1,5,json,0.88
2,0,text,1.0
2,0,markdown,0.9
2,0,yaml,1.0
2,0,json,0.7
2,1,text,1.0
2,1,markdown,0.9
2,1,yaml,0.9
2,1,json,0.12
2,3,text,0.78
2,3,markdown,0.9
2,3,yaml,0.9
2,3,json,0.9
2,5,text,0.9
2,5,markdown,0.9
2,5,yaml,0.9
2,5,json,1.0
3,0,text,0.6
3,0,markdown,0.6
3,0,yaml,0.9
3,0,json,0.9
3,1,text,0.3
3,1,markdown,0.8
3,1,yaml,0.7
3,1,json,0.9
3,3,text,0.7
3,3,markdown,0.8
3,3,yaml,0.3
3,3,json,1.0
3,5,text,0.5
3,5,markdown,0.5
3,5,yaml,0.4
3,5,json,0.7
4,0,text,0.62
4,0,markdown,0.89
4,0,yaml,0.8
4,0,json,0.78
4,1,text,0.8
4,1,markdown,0.9
4,1,yaml,0.9
4,1,json,0.3
4,3,text,0.9
4,3,markdown,0.9
4,3,yaml,0.9
4,3,json,0.33
4,5,text,1.0
4,5,markdown,0.9
4,5,yaml,0.9
4,5,json,0.5
5,0,text,0.9
5,0,markdown,0.8
5,0,yaml,0.6
5,0,json,0.11
5,1,text,0.9
5,1,markdown,0.7
5,1,yaml,0.9
5,1,json,0.6
5,3,text,1.0
5,3,markdown,0.89
5,3,yaml,0.9
5,3,json,0.9
5,5,text,1.0
5,5,markdown,1.0
5,5,yaml,1.0
5,5,json,1.0
6,0,text,1.0
6,0,markdown,1.0
6,0,yaml,1.0
6,0,json,1.0
6,1,text,1.0
6,1,markdown,1.0
6,1,yaml,1.0
6,1,json,0.9
6,3,text,0.89
6,3,markdown,0.9
6,3,yaml,1.0
6,3,json,0.78
6,5,text,1.0
6,5,markdown,1.0
6,5,yaml,1.0
6,5,json,1.0
7,0,text,1.0
7,0,markdown,1.0
7,0,yaml,1.0
7,0,json,1.0
7,1,text,1.0
7,1,markdown,0.89
7,1,yaml,0.9
7,1,json,1.0
7,3,text,1.0
7,3,markdown,1.0
7,3,yaml,1.0
7,3,json,1.0
7,5,text,1.0
7,5,markdown,1.0
7,5,yaml,0.9
7,5,json,1.0
8,0,text,1.0
8,0,markdown,0.9
8,0,yaml,1.0
8,0,json,1.0
8,1,text,0.62
8,1,markdown,0.8
8,1,yaml,0.9
8,1,json,0.6
8,3,text,0.62
8,3,markdown,0.6
8,3,yaml,0.88
8,3,json,0.3
8,5,text,0.8
8,5,markdown,1.0
8,5,yaml,1.0
8,5,json,0.6
9,0,text,0.4
9,0,markdown,0.22
9,0,yaml,0.2
9,0,json,0.4
9,1,text,0.1
9,1,markdown,0.2
9,1,yaml,0.1
9,1,json,0.3
9,3,text,0.2
9,3,markdown,0.4
9,3,yaml,0.1
9,3,json,0.3
9,5,text,0.8
9,5,markdown,0.6
9,5,yaml,0.33
9,5,json,0.0
10,0,text,0.8
10,0,markdown,0.89
10,0,yaml,0.67
10,0,json,0.9
10,1,text,0.9
10,1,markdown,1.0
10,1,yaml,0.6
10,1,json,0.7
10,3,text,0.75
10,3,markdown,0.9
10,3,yaml,0.9
10,3,json,0.38
10,5,text,1.0
10,5,markdown,1.0
10,5,yaml,1.0
10,5,json,1.0
