prompt_id,shot,format,accuracy
1,3,text,0.9
1,3,markdown,1.0
1,3,yaml,0.9
1,3,json,0.9
2,3,text,0.78
2,3,markdown,0.9
2,3,yaml,0.9
2,3,json,0.9
3,3,text,0.7
3,3,markdown,0.8
3,3,yaml,0.3
3,3,json,1.0
4,3,text,0.9
4,3,markdown,0.9
4,3,yaml,0.9
4,3,json,0.33
5,3,text,1.0
5,3,markdown,0.89
5,3,yaml,0.9
5,3,json,0.9
6,3,text,0.89
6,3,markdown,0.9
6,3,yaml,1.0
6,3,json,0.78
7,3,text,1.0
7,3,markdown,1.0
7,3,yaml,1.0
7,3,json,1.0
8,3,text,0.62
8,3,markdown,0.6
8,3,yaml,0.88
8,3,json,0.3
9,3,text,0.2
9,3,markdown,0.4
9,3,yaml,0.1
9,3,json,0.3
10,3,text,0.75
10,3,markdown,0.9
10,3,yaml,0.9
10,3,json,0.38
