prompt_id,shot,format,accuracy
1,0,yaml,0.9
1,1,yaml,0.9
1,3,yaml,0.9
1,5,yaml,0.9
2,0,yaml,1.0
2,1,yaml,0.9
2,3,yaml,0.9
2,5,yaml,0.9
3,0,yaml,0.9
3,1,yaml,0.7
3,3,yaml,0.3
3,5,yaml,0.4
4,0,yaml,0.8
4,1,yaml,0.9
4,3,yaml,0.9
4,5,yaml,0.9
5,0,yaml,0.6
5,1,yaml,0.9
5,3,yaml,0.9
5,5,yaml,1.0
6,0,yaml,1.0
6,1,yaml,1.0
6,3,yaml,1.0
6,5,yaml,1.0
7,0,yaml,1.0
7,1,yaml,0.9
7,3,yaml,1.0
7,5,yaml,0.9
8,0,yaml,1.0
8,1,yaml,0.9
8,3,yaml,0.88
8,5,yaml,1.0
9,0,yaml,0.2
9,1,yaml,0.1
9,3,yaml,0.1
9,5,yaml,0.33
10,0,yaml,0.67
10,1,yaml,0.6
10,3,yaml,0.9
10,5,yaml,1.0
