prompt_id,shot,format,reproducibility
1,0,json,0.64
1,1,json,0.64
1,3,json,1.0
1,5,json,1.0
2,0,json,0.49
2,1,json,0.8
2,3,json,1.0
2,5,json,1.0
3,0,json,0.62
3,1,json,0.36
3,3,json,0.8
3,5,json,1.0
4,0,json,0.4
4,1,json,0.36
4,3,json,0.64
4,5,json,0.62
5,0,json,0.29
5,1,json,1.0
5,3,json,0.64
5,5,json,0.4
6,0,json,0.64
6,1,json,0.62
6,3,json,0.4
6,5,json,0.53
7,0,json,0.62
7,1,json,0.62
7,3,json,1.0
7,5,json,0.8
8,0,json,0.38
8,1,json,0.47
8,3,json,0.36
8,5,json,0.31
9,0,json,0.8
9,1,json,0.29
9,3,json,0.53
9,5,json,0.8
10,0,json,0.49
10,1,json,0.62
10,3,json,0.62
10,5,json,0.47
