prompt_id,shot,format,reproducibility
1,0,text,1.0
1,1,text,0.8
1,3,text,1.0
1,5,text,1.0
2,0,text,0.47
2,1,text,0.8
2,3,text,1.0
2,5,text,1.0
3,0,text,0.8
3,1,text,1.0
3,3,text,1.0
3,5,text,1.0
4,0,text,0.4
4,1,text,0.29
4,3,text,1.0
4,5,text,1.0
5,0,text,0.4
5,1,text,0.49
5,3,text,0.64
5,5,text,0.8
6,0,text,1.0
6,1,text,0.47
6,3,text,1.0
6,5,text,1.0
7,0,text,1.0
7,1,text,1.0
7,3,text,1.0
7,5,text,1.0
8,0,text,0.64
8,1,text,0.29
8,3,text,0.53
8,5,text,1.0
9,0,text,0.4
9,1,text,0.49
9,3,text,1.0
9,5,text,0.27
10,0,text,0.8
10,1,text,0.8
10,3,text,1.0
10,5,text,0.64
