prompt_id,shot,format,reproducibility
1,3,text,1.0
1,3,markdown,1.0
1,3,yaml,1.0
1,3,json,1.0
2,3,text,1.0
2,3,markdown,1.0
2,3,yaml,1.0
2,3,json,1.0
3,3,text,1.0
3,3,markdown,1.0
3,3,yaml,0.8
3,3,json,0.8
4,3,text,1.0
4,3,markdown,1.0
4,3,yaml,0.8
4,3,json,0.64
5,3,text,0.64
5,3,markdown,0.8
5,3,yaml,0.47
5,3,json,0.64
6,3,text,1.0
6,3,markdown,0.53
6,3,yaml,0.8
6,3,json,0.4
7,3,text,1.0
7,3,markdown,1.0
7,3,yaml,0.8
7,3,json,1.0
8,3,text,0.53
8,3,markdown,1.0
8,3,yaml,0.38
8,3,json,0.36
9,3,text,1.0
9,3,markdown,1.0
9,3,yaml,0.36
9,3,json,0.53
10,3,text,1.0
10,3,markdown,0.8
10,3,yaml,1.0
10,3,json,0.62
