prompt_id,shot,format,reproducibility
1,0,text,1.00
1,0,markdown,1.00
1,0,yaml,1.00
1,0,json,0.64
1,1,text,0.80
1,1,markdown,1.00
1,1,yaml,1.00
1,1,json,0.64
1,3,text,1.00
1,3,markdown,1.00
1,3,yaml,1.00
1,3,json,1.00
1,5,text,1.00
1,5,markdown,1.00
1,5,yaml,1.00
1,5,json,1.00
2,0,text,0.47
2,0,markdown,0.64
2,0,yaml,0.40
2,0,json,0.49
2,1,text,0.80
2,1,markdown,1.00
2,1,yaml,1.00
2,1,json,0.80
2,3,text,1.00
2,3,markdown,1.00
2,3,yaml,1.00
2,3,json,1.00
2,5,text,1.00
2,5,markdown,1.00
2,5,yaml,1.00
2,5,json,1.00
3,0,text,0.80
3,0,markdown,0.64
3,0,yaml,0.80
3,0,json,0.62
3,1,text,1.00
3,1,markdown,1.00
3,1,yaml,1.00
3,1,json,0.36
3,3,text,1.00
3,3,markdown,1.00
3,3,yaml,0.80
3,3,json,0.80
3,5,text,1.00
3,5,markdown,1.00
3,5,yaml,1.00
3,5,json,1.00
4,0,text,0.40
4,0,markdown,0.29
4,0,yaml,0.47
4,0,json,0.40
4,1,text,0.29
4,1,markdown,0.80
4,1,yaml,0.31
4,1,json,0.36
4,3,text,1.00
4,3,markdown,1.00
4,3,yaml,0.80
4,3,json,0.64
4,5,text,1.00
4,5,markdown,1.00
4,5,yaml,1.00
4,5,json,0.62
5,0,text,0.40
5,0,markdown,0.62
5,0,yaml,0.31
5,0,json,0.29
5,1,text,0.49
5,1,markdown,0.22
5,1,yaml,0.62
5,1,json,1.00
5,3,text,0.64
5,3,markdown,0.80
5,3,yaml,0.47
5,3,json,0.64
5,5,text,0.80
5,5,markdown,0.53
5,5,yaml,0.36
5,5,json,0.40
6,0,text,1.00
6,0,markdown,0.80
6,0,yaml,0.80
6,0,json,0.64
6,1,text,0.47
6,1,markdown,0.80
6,1,yaml,0.53
6,1,json,0.62
6,3,text,1.00
6,3,markdown,0.53
6,3,yaml,0.80
6,3,json,0.40
6,5,text,1.00
6,5,markdown,1.00
6,5,yaml,0.80
6,5,json,0.53
7,0,text,1.00
7,0,markdown,0.80
7,0,yaml,1.00
7,0,json,0.62
7,1,text,1.00
7,1,markdown,0.80
7,1,yaml,0.80
7,1,json,0.62
7,3,text,1.00
7,3,markdown,1.00
7,3,yaml,0.80
7,3,json,1.00
7,5,text,1.00
7,5,markdown,1.00
7,5,yaml,0.80
7,5,json,0.80
8,0,text,0.64
8,0,markdown,0.64
8,0,yaml,0.53
8,0,json,0.38
8,1,text,0.29
8,1,markdown,0.53
8,1,yaml,0.53
8,1,json,0.47
8,3,text,0.53
8,3,markdown,1.00
8,3,yaml,0.38
8,3,json,0.36
8,5,text,1.00
8,5,markdown,0.80
8,5,yaml,0.62
8,5,json,0.31
9,0,text,0.40
9,0,markdown,0.64
9,0,yaml,0.64
9,0,json,0.80
9,1,text,0.49
9,1,markdown,0.47
9,1,yaml,0.80
9,1,json,0.29
9,3,text,1.00
9,3,markdown,1.00
9,3,yaml,0.36
9,3,json,0.53
9,5,text,0.27
9,5,markdown,0.38
9,5,yaml,0.27
9,5,json,0.80
10,0,text,0.80
10,0,markdown,0.40
10,0,yaml,0.49
10,0,json,0.49
10,1,text,0.80
10,1,markdown,0.80
10,1,yaml,0.64
10,1,json,0.62
10,3,text,1.00
10,3,markdown,0.80
10,3,yaml,1.00
10,3,json,0.62
10,5,text,0.64
10,5,markdown,0.80
10,5,yaml,0.53
10,5,json,0.47
