prompt_id,shot,format,reproducibility
1,0,text,1.0
1,0,markdown,1.0
1,0,yaml,1.0
1,0,json,0.64
2,0,text,0.47
2,0,markdown,0.64
2,0,yaml,0.4
2,0,json,0.49
3,0,text,0.8
3,0,markdown,0.64
3,0,yaml,0.8
3,0,json,0.62
4,0,text,0.4
4,0,markdown,0.29
4,0,yaml,0.47
4,0,json,0.4
5,0,text,0.4
5,0,markdown,0.62
5,0,yaml,0.31
5,0,json,0.29
6,0,text,1.0
6,0,markdown,0.8
6,0,yaml,0.8
6,0,json,0.64
7,0,text,1.0
7,0,markdown,0.8
7,0,yaml,1.0
7,0,json,0.62
8,0,text,0.64
8,0,markdown,0.64
8,0,yaml,0.53
8,0,json,0.38
9,0,text,0.4
9,0,markdown,0.64
9,0,yaml,0.64
9,0,json,0.8
10,0,text,0.8
10,0,markdown,0.4
10,0,yaml,0.49
10,0,json,0.49
