prompt_id,shot,format,reproducibility
1,5,text,1.0
1,5,markdown,1.0
1,5,yaml,1.0
1,5,json,1.0
2,5,text,1.0
2,5,markdown,1.0
2,5,yaml,1.0
2,5,json,1.0
3,5,text,1.0
3,5,markdown,1.0
3,5,yaml,1.0
3,5,json,1.0
4,5,text,1.0
4,5,markdown,1.0
4,5,yaml,1.0
4,5,json,0.62
5,5,text,0.8
5,5,markdown,0.53
5,5,yaml,0.36
5,5,json,0.4
6,5,text,1.0
6,5,markdown,1.0
6,5,yaml,0.8
6,5,json,0.53
7,5,text,1.0
7,5,markdown,1.0
7,5,yaml,0.8
7,5,json,0.8
8,5,text,1.0
8,5,markdown,0.8
8,5,yaml,0.62
8,5,json,0.31
9,5,text,0.27
9,5,markdown,0.38
9,5,yaml,0.27
9,5,json,0.8
10,5,text,0.64
10,5,markdown,0.8
10,5,yaml,0.53
10,5,json,0.47
