prompt_id,shot,format,reproducibility
1,0,markdown,1.0
1,1,markdown,1.0
1,3,markdown,1.0
1,5,markdown,1.0
2,0,markdown,0.64
2,1,markdown,1.0
2,3,markdown,1.0
2,5,markdown,1.0
3,0,markdown,0.64
3,1,markdown,1.0
3,3,markdown,1.0
3,5,markdown,1.0
4,0,markdown,0.29
4,1,markdown,0.8
4,3,markdown,1.0
4,5,markdown,1.0
5,0,markdown,0.62
5,1,markdown,0.22
5,3,markdown,0.8
5,5,markdown,0.53
6,0,markdown,0.8
6,1,markdown,0.8
6,3,markdown,0.53
6,5,markdown,1.0
7,0,markdown,0.8
7,1,markdown,0.8
7,3,markdown,1.0
7,5,markdown,1.0
8,0,markdown,0.64
8,1,markdown,0.53
8,3,markdown,1.0
8,5,markdown,0.8
9,0,markdown,0.64
9,1,markdown,0.47
9,3,markdown,1.0
9,5,markdown,0.38
10,0,markdown,0.4
10,1,markdown,0.8
10,3,markdown,0.8
10,5,markdown,0.8
