prompt_id,answer
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
1,positive
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
2,negative
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
3,positive
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
4,negative
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
5,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
6,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
7,positive
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
8,negative
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
9,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
10,positive
