prompt_id,shot,format,reproducibility
1,3,text,0.8
1,3,markdown,1.0
1,3,yaml,0.8
1,3,json,0.8
2,3,text,0.49
2,3,markdown,0.8
2,3,yaml,0.8
2,3,json,0.8
3,3,text,0.27
3,3,markdown,0.64
3,3,yaml,0.53
3,3,json,0.8
4,3,text,0.8
4,3,markdown,0.8
4,3,yaml,0.8
4,3,json,0.47
5,3,text,0.47
5,3,markdown,0.27
5,3,yaml,0.8
5,3,json,0.49
6,3,text,0.62
6,3,markdown,0.8
6,3,yaml,0.64
6,3,json,0.49
7,3,text,1.0
7,3,markdown,1.0
7,3,yaml,1.0
7,3,json,0.64
8,3,text,0.27
8,3,markdown,0.4
8,3,yaml,0.49
8,3,json,0.53
9,3,text,0.49
9,3,markdown,0.36
9,3,yaml,0.8
9,3,json,0.27
10,3,text,0.36
10,3,markdown,0.8
10,3,yaml,0.8
10,3,json,0.31
