prompt_id,shot,format,reproducibility
1,5,text,1.0
1,5,markdown,1.0
1,5,yaml,0.8
1,5,json,0.49
2,5,text,0.8
2,5,markdown,0.8
2,5,yaml,0.8
2,5,json,0.8
3,5,text,0.36
3,5,markdown,0.44
3,5,yaml,0.38
3,5,json,0.4
4,5,text,1.0
4,5,markdown,0.8
4,5,yaml,0.8
4,5,json,0.62
5,5,text,0.47
5,5,markdown,0.44
5,5,yaml,0.8
5,5,json,0.29
6,5,text,1.0
6,5,markdown,1.0
6,5,yaml,1.0
6,5,json,1.0
7,5,text,1.0
7,5,markdown,1.0
7,5,yaml,0.8
7,5,json,1.0
8,5,text,0.64
8,5,markdown,1.0
8,5,yaml,1.0
8,5,json,0.47
9,5,text,0.62
9,5,markdown,0.4
9,5,yaml,0.22
9,5,json,0.4
10,5,text,1.0
10,5,markdown,1.0
10,5,yaml,1.0
10,5,json,0.8
