prompt_id,shot,format,reproducibility
1,1,text,1.0
1,1,markdown,1.0
1,1,yaml,0.8
1,1,json,0.38
2,1,text,1.0
2,1,markdown,0.8
2,1,yaml,0.8
2,1,json,0.49
3,1,text,0.49
3,1,markdown,0.31
3,1,yaml,0.27
3,1,json,0.8
4,1,text,0.62
4,1,markdown,0.8
4,1,yaml,0.8
4,1,json,0.4
5,1,text,0.4
5,1,markdown,0.27
5,1,yaml,0.49
5,1,json,0.47
6,1,text,0.47
6,1,markdown,0.8
6,1,yaml,0.8
6,1,json,0.8
7,1,text,1.0
7,1,markdown,0.62
7,1,yaml,0.8
7,1,json,1.0
8,1,text,0.27
8,1,markdown,0.62
8,1,yaml,0.8
8,1,json,0.47
9,1,text,0.49
9,1,markdown,0.38
9,1,yaml,0.8
9,1,json,0.4
10,1,text,0.8
10,1,markdown,1.0
10,1,yaml,0.47
10,1,json,0.49
