prompt_id,shot,format,reproducibility
1,0,yaml,0.8
1,1,yaml,0.8
1,3,yaml,0.8
1,5,yaml,0.8
2,0,yaml,1.0
2,1,yaml,0.8
2,3,yaml,0.8
2,5,yaml,0.8
3,0,yaml,0.4
3,1,yaml,0.27
3,3,yaml,0.53
3,5,yaml,0.38
4,0,yaml,0.64
4,1,yaml,0.8
4,3,yaml,0.8
4,5,yaml,0.8
5,0,yaml,0.27
5,1,yaml,0.49
5,3,yaml,0.8
5,5,yaml,0.8
6,0,yaml,1.0
6,1,yaml,0.8
6,3,yaml,0.64
6,5,yaml,1.0
7,0,yaml,1.0
7,1,yaml,0.8
7,3,yaml,1.0
7,5,yaml,0.8
8,0,yaml,0.8
8,1,yaml,0.8
8,3,yaml,0.49
8,5,yaml,1.0
9,0,yaml,0.38
9,1,yaml,0.8
9,3,yaml,0.8
9,5,yaml,0.22
10,0,yaml,0.4
10,1,yaml,0.47
10,3,yaml,0.8
10,5,yaml,1.0
