prompt_id,shot,format,accuracy
1,3,text,1
1,3,markdown,1
1,3,yaml,1
1,3,json,1
2,3,text,1
2,3,markdown,1
2,3,yaml,1
2,3,json,1
3,3,text,1
3,3,markdown,1
3,3,yaml,1
3,3,json,0.9
4,3,text,1
4,3,markdown,1
4,3,yaml,1
4,3,json,1
5,3,text,1
5,3,markdown,1
5,3,yaml,1
5,3,json,1
6,3,text,1
6,3,markdown,1
6,3,yaml,1
6,3,json,0.86
7,3,text,1
7,3,markdown,1
7,3,yaml,1
7,3,json,1
8,3,text,0.7
8,3,markdown,1
8,3,yaml,0.75
8,3,json,0.83
9,3,text,1
9,3,markdown,1
9,3,yaml,0.67
9,3,json,1
10,3,text,1
10,3,markdown,0.9
10,3,yaml,1
10,3,json,0.8
