prompt_id,shot,format,accuracy
1,0,text,1
1,0,markdown,1
1,0,yaml,1
1,0,json,1
2,0,text,0.4
2,0,markdown,0.8
2,0,yaml,0.67
2,0,json,0.78
3,0,text,0.9
3,0,markdown,1
3,0,yaml,1
3,0,json,0.9
4,0,text,0.67
4,0,markdown,0.56
4,0,yaml,0.6
4,0,json,0.67
5,0,text,1
5,0,markdown,0.9
5,0,yaml,0.8
5,0,json,0.89
6,0,text,1
6,0,markdown,1
6,0,yaml,1
6,0,json,1
7,0,text,1
7,0,markdown,1
7,0,yaml,1
7,0,json,0.89
8,0,text,0.8
8,0,markdown,0.8
8,0,yaml,0.7
8,0,json,0.75
9,0,text,0.6
9,0,markdown,0.8
9,0,yaml,0.8
9,0,json,0.9
10,0,text,0.9
10,0,markdown,0.67
10,0,yaml,0.78
10,0,json,0.7
