prompt_id,shot,format,accuracy
1,5,text,1
1,5,markdown,1
1,5,yaml,1
1,5,json,1
2,5,text,1
2,5,markdown,1
2,5,yaml,1
2,5,json,1
3,5,text,1
3,5,markdown,1
3,5,yaml,1
3,5,json,1
4,5,text,1
4,5,markdown,1
4,5,yaml,1
4,5,json,0.5
5,5,text,1
5,5,markdown,1
5,5,yaml,0.9
5,5,json,1
6,5,text,1
6,5,markdown,1
6,5,yaml,1
6,5,json,1
7,5,text,1
7,5,markdown,1
7,5,yaml,1
7,5,json,1
8,5,text,1
8,5,markdown,0.9
8,5,yaml,0.89
8,5,json,0.6
9,5,text,0.3
9,5,markdown,0.2
9,5,yaml,0.3
9,5,json,0
10,5,text,0.8
10,5,markdown,0.9
10,5,yaml,0.7
10,5,json,0.4
