prompt_id,shot,format,accuracy
1,0,json,1
1,1,json,0.8
1,3,json,1
1,5,json,1
2,0,json,0.78
2,1,json,0.9
2,3,json,1
2,5,json,1
3,0,json,0.9
3,1,json,0.56
3,3,json,0.9
3,5,json,1
4,0,json,0.67
4,1,json,0.8
4,3,json,1
4,5,json,0.5
5,0,json,0.89
5,1,json,unknown
5,3,json,1
5,5,json,1
6,0,json,1
6,1,json,0.5
6,3,json,0.86
6,5,json,1
7,0,json,0.89
7,1,json,0.89
7,3,json,1
7,5,json,1
8,0,json,0.75
8,1,json,0
8,3,json,0.83
8,5,json,0.6
9,0,json,0.9
9,1,json,0.33
9,3,json,1
9,5,json,0
10,0,json,0.7
10,1,json,0.89
10,3,json,0.8
10,5,json,0.4
