prompt_id,shot,format,accuracy
1,0,markdown,1
1,1,markdown,1
1,3,markdown,1
1,5,markdown,1
2,0,markdown,0.8
2,1,markdown,1
2,3,markdown,1
2,5,markdown,1
3,0,markdown,1
3,1,markdown,1
3,3,markdown,1
3,5,markdown,1
4,0,markdown,0.56
4,1,markdown,1
4,3,markdown,1
4,5,markdown,1
5,0,markdown,0.9
5,1,markdown,0.88
5,3,markdown,1
5,5,markdown,1
6,0,markdown,1
6,1,markdown,1
6,3,markdown,1
6,5,markdown,1
7,0,markdown,1
7,1,markdown,1
7,3,markdown,1
7,5,markdown,1
8,0,markdown,0.8
8,1,markdown,1
8,3,markdown,1
8,5,markdown,0.9
9,0,markdown,0.8
9,1,markdown,1
9,3,markdown,1
9,5,markdown,0.2
10,0,markdown,0.67
10,1,markdown,0.9
10,3,markdown,0.9
10,5,markdown,0.9
