prompt_id,shot,format,accuracy
1,0,text,1
1,1,text,1
1,3,text,1
1,5,text,1
2,0,text,0.4
2,1,text,0.9
2,3,text,1
2,5,text,1
3,0,text,0.9
3,1,text,1
3,3,text,1
3,5,text,1
4,0,text,0.67
4,1,text,0.5
4,3,text,1
4,5,text,1
5,0,text,1
5,1,text,0.67
5,3,text,1
5,5,text,1
6,0,text,1
6,1,text,1
6,3,text,1
6,5,text,1
7,0,text,1
7,1,text,1
7,3,text,1
7,5,text,1
8,0,text,0.8
8,1,text,0.5
8,3,text,0.7
8,5,text,1
9,0,text,0.6
9,1,text,0.78
9,3,text,1
9,5,text,0.3
10,0,text,0.9
10,1,text,1
10,3,text,1
10,5,text,0.8
