prompt_id,shot,format,accuracy
1,1,text,1
1,1,markdown,1
1,1,yaml,1
1,1,json,0.8
2,1,text,0.9
2,1,markdown,1
2,1,yaml,1
2,1,json,0.9
3,1,text,1
3,1,markdown,1
3,1,yaml,1
3,1,json,0.56
4,1,text,0.5
4,1,markdown,1
4,1,yaml,0.6
4,1,json,0.8
5,1,text,0.67
5,1,markdown,0.88
5,1,yaml,1
5,1,json,unknown
6,1,text,1
6,1,markdown,1
6,1,yaml,1
6,1,json,0.5
7,1,text,1
7,1,markdown,1
7,1,yaml,1
7,1,json,0.89
8,1,text,0.5
8,1,markdown,1
8,1,yaml,1
8,1,json,0
9,1,text,0.78
9,1,markdown,1
9,1,yaml,1
9,1,json,0.33
10,1,text,1
10,1,markdown,0.9
10,1,yaml,1
10,1,json,0.89
